1.4151e+11,1.1789e+11,7.9661e+10,5.5823e+10,3.3421e+10,1.3986e+10,49037,45324,43205,41480,40642,39168,38399,37530,37231,37048
1.2445e+11,8.7581e+10,6.2033e+10,3.943e+10,2.1054e+10,5.811e+09,46080,43639,41863,40575,39580,38826,38244,37554,37504,37429
9.4594e+10,7.0687e+10,4.8117e+10,2.9654e+10,1.4432e+10,1.3394e+09,44070,42298,40991,40003,39240,38666,38219,37950,37744,37639
7.9806e+10,5.7344e+10,3.7725e+10,2.3704e+10,1.0529e+10,45410,42716,41392,40401,39961,39537,39448,38389,38174,38108,38069
6.511e+10,4.542e+10,3.1294e+10,1.8086e+10,6.4025e+09,43614,41840,40864,40108,39537,39131,38808,38659,38548,38542,38586
5.322e+10,3.9051e+10,2.5755e+10,1.404e+10,3.4562e+09,42312,41299,40330,39992,39564,39368,39088,38877,38994,39053,39146
4.8542e+10,3.5156e+10,2.3326e+10,1.2646e+10,2.7756e+09,42192,40560,40426,40016,39745,39546,39450,39470,39507,39646,39993
4.2929e+10,3.1104e+10,2.0359e+10,1.0429e+10,1.0921e+09,41460,40892,40465,40178,39999,39944,39903,39991,40112,40287,40456
3.9828e+10,2.9069e+10,1.9048e+10,9.6668e+09,7.3165e+08,41425,40917,40631,40271,40388,40372,40427,40567,40718,40917,41198
3.7626e+10,2.7585e+10,1.8198e+10,9.2153e+09,5.9479e+08,41464,40857,40934,40837,40827,40926,41046,41099,41415,41656,41987
3.6451e+10,2.6956e+10,1.7986e+10,9.3604e+09,9.4187e+08,41831,41414,41191,41323,41393,41720,41653,41899,42183,42441,42804
3.5178e+10,2.6118e+10,1.7482e+10,9.1037e+09,8.7699e+08,41889,41783,41835,41727,41983,42160,42400,42581,42959,43303,43666
3.4836e+10,2.6099e+10,1.7688e+10,9.5421e+09,1.5098e+09,42321,42283,42350,42454,42626,43002,43296,43436,43860,44163,44604
3.4597e+10,2.6172e+10,1.7949e+10,1.0021e+10,2.1688e+09,42769,42666,42951,43134,43332,43657,44100,44282,44732,45167,45617
3.4889e+10,2.6656e+10,1.8612e+10,1.0808e+10,3.0454e+09,43385,43470,43656,43908,44192,44469,44833,45253,45666,46124,46668
3.5226e+10,2.7144e+10,1.9352e+10,1.1564e+10,3.9634e+09,43975,44051,44404,44688,45033,45382,45829,46273,46742,47248,47780
