40615,40496,40461,40456,40511,40596,40689,40800,40939,41090,41291,41500,41735,42024,42353
40749,40533,40415,40364,40365,40397,40461,40527,40597,40719,40831,40972,41152,41382,41608
40916,40637,40488,40408,40385,40391,40430,40464,40500,40552,40586,40639,40737,40838,40989
41230,40956,40815,40749,40742,40761,40803,40829,40843,40817,40770,40743,40724,40724,40737
41885,41669,41545,41534,41577,41641,41709,41760,41749,41692,41606,41478,41329,41181,41071
42981,42835,42797,42826,42895,43030,43164,43252,43261,43211,43053,42863,42609,42333,42073
44410,44343,44364,44440,44564,44733,44920,45081,45168,45138,45024,44766,44431,44055,43677
45965,45963,46025,46151,46316,46550,46766,46995,47164,47249,47166,46964,46642,46224,45713
47459,47542,47682,47846,48076,48328,48622,48903,49154,49328,49372,49294,49000,48597,48074
48923,49105,49271,49496,49784,50051,50402,50714,51062,51319,51492,51536,51391,51075,50615
50351,50538,50814,51072,51405,51739,52036,52320,52880,53205,53492,53652,53678,53526,53161
51656,51906,52154,52631,52976,53359,53740,54115,54504,54878,54465,54709,54818,54843,54691
52945,53282,53627,54000,54402,54782,54441,54779,56171,56561,56962,57286,57523,57693,57669
54088,54434,54832,54499,54858,56280,56717,57120,57539,57922,58274,57370,57667,59596,59717
54371,54697,56118,56541,57001,57478,57914,58130,57458,57842,59946,60310,60685,61008,61228
