202.93,76.873,67160
117.76,122.09,66670
70.68,108.2,65999
99.571,92.849,63087
99.351,49.556,57123
78.109,40.505,57123
46.854,72.574,54829
54.421,59.582,54676
48.163,35.181,52031
35.955,27.633,52031
22.739,29.953,52031
18.909,30.835,52031
20.309,21.638,52031
25.285,19.831,51371
25.189,20.097,51371
33.465,17.029,51371
43.251,12.761,51371
40.395,6.163,51371
27.603,14.509,51371
16.32,15.001,51371
17.585,9.5658,51361
18.57,6.4134,51294
11.468,7.3998,51294
9.1581,13.258,51294
21.241,13.954,51294
25.693,5.0684,51294
20.179,6.3061,51294
8.8067,13.098,51294
9.3916,5.9354,51271
7.247,3.4253,51271
