40198,42193,44392,46807,47460,49260,52186,53824,55000,58393,60695,63122,65700,67391,69568,71854,74262,76818,79476,80878,83227,85574,1.0158e+05
39604,41388,43641,45503,47599,49337,52192,54485,54971,58285,60558,63021,65465,67220,69351,71614,74055,76545,79084,80594,82835,85284,1.0105e+05
40938,42794,44885,47183,47841,50008,52395,54678,54810,58390,60594,62963,65510,67120,69335,71560,73927,76429,78937,80375,82683,1.0095e+05,1.006e+05
40575,42258,44127,46232,48236,50396,52689,53489,51817,58429,61211,63090,65574,67241,69349,71645,73994,76395,78899,80350,82571,85007,1.0045e+05
41101,42753,44638,46699,48676,50170,53131,53336,53448,59322,61025,63332,65772,67363,69515,71782,74122,76553,78978,80422,82717,84996,99999
41632,43306,45215,47239,49210,51341,53331,55121,57055,59330,61564,63668,66065,67584,79817,71991,74264,76697,79172,80579,82766,85105,1.0391e+05
42180,43850,45734,47815,49791,51418,53741,55343,57511,59550,61762,64074,66559,67973,80209,72270,74570,76948,79527,80769,82995,85359,87671
43148,44901,46858,48994,50363,52514,54780,56011,57999,60272,62215,65331,67046,68320,70467,72661,74977,77305,79792,81069,83297,85560,87941
43449,45177,47110,49200,50980,52708,52356,53972,58514,60578,62804,65067,67556,68744,70888,73042,75378,77737,80241,81389,83612,98543,88280
43982,45728,47688,49824,51610,53307,55124,56891,59029,61140,63333,65837,68103,69149,71321,74175,75880,78217,80685,81867,84057,1.0232e+05,88737
44392,46086,48006,50164,52208,54164,55487,57400,59571,61725,63925,66389,67685,79693,71800,73988,76354,78790,81271,82270,99818,86776,89187
45109,46873,48828,50995,52848,54830,56166,58123,60140,62459,64582,67276,68164,70235,72330,74628,76917,79287,80619,82766,84955,87189,89604
45511,47230,49229,51333,53428,51177,52574,58652,60698,62801,65920,67543,68953,70733,72935,75389,77530,79909,81124,83249,85485,87814,1.0371e+05
46282,48013,49989,52221,54107,55058,57230,59063,61181,63478,65855,68253,79156,71329,73518,75792,78070,80602,81557,83732,86053,88356,90763
46850,48619,50630,52840,54707,55563,57776,59757,62361,64088,66469,68287,79735,71902,74140,76402,78783,81168,82173,99661,86529,88868,91230
47290,49017,50984,53187,52374,56005,58270,60511,62658,64693,67085,68403,70314,72466,74749,77047,79408,80610,82663,84946,87143,89476,1.0565e+05
48200,50045,52073,54309,55104,56884,58823,60855,63522,65315,67656,68893,70946,73109,75320,77619,80001,81232,83345,85487,87698,1.0357e+05,92502
48623,50408,52460,54652,55573,57448,59382,61653,63637,66349,67382,79309,71479,73678,75959,78268,80722,81712,83841,86112,88336,90772,93279
49056,50834,52854,53486,56115,57952,59927,62021,64622,66502,67876,79908,72005,74211,76500,78892,81364,82269,99870,86754,89056,91478,93830
49805,51610,53714,55031,51813,58504,60665,62475,64835,67137,68380,70459,72547,74800,77120,79512,80737,82828,85052,87382,89727,92097,94531
50329,52083,54142,55394,57141,59034,61009,63652,65385,67440,68873,70980,73098,75332,77726,80159,81343,83492,85637,87961,1.0388e+05,92747,93834
