1.2162e+05,95897,83793,69146,60650,53869,49037,50694,43515,41480,41273,39595,38120,37799,37366,37048
97648,82942,70189,61577,54317,49502,46080,43639,42381,40575,39580,39160,38244,37945,37504,37675
77924,70283,60749,55968,49996,46529,44070,42298,40991,40003,39240,38666,38219,37950,37744,37639
70251,61567,54566,50876,45939,43600,42716,41392,40401,39661,39103,38664,38389,38837,38108,38069
60665,56412,51780,48533,45030,43176,41364,40864,40108,39803,39131,39312,38659,38548,38542,38586
55859,51126,47866,45541,43674,42312,40867,40330,39992,39564,39280,39291,38989,38994,39103,39286
51952,48262,46046,44333,42754,41729,40787,40227,40016,39745,39546,39611,39470,39566,39646,39786
48702,46276,44542,43257,42197,41460,40892,40178,40589,39890,40512,39903,39991,40150,40381,40456
46981,45190,43900,42927,41891,40951,40917,40411,40467,40248,40372,40427,40567,40718,40967,41276
45400,44054,43086,42397,41810,41397,40339,40934,40837,40756,41154,41282,41206,41415,41656,42076
44810,43588,42887,42390,41878,41357,41414,41191,41323,41393,41495,41778,41899,42183,42441,42804
44231,43242,42693,42361,41776,41615,41783,41781,41863,41983,42160,42400,42625,43298,43303,43666
43811,43278,42907,42704,42218,42261,42283,42429,42454,42560,42889,43131,43436,43792,44163,44577
43779,43214,42997,42844,42687,42769,42776,42951,43134,43367,43657,43948,44334,44707,45167,45617
43720,43455,43340,43262,43109,43192,43415,43603,43908,44192,44590,44928,45185,45671,46094,46678
44091,43926,43903,43796,43753,43975,44202,44404,44760,45067,45382,45829,46273,46742,47248,47786
